entry_ts	entry_price	exit_ts	exit_price	pnl	dir	reason
2024-04-26 22:37:00.000000000	37180.0	2024-04-26 22:46:00.000000000	37265.9	65.9	LONG	TP
2024-04-30 11:25:00.000000000	38485.0	2024-04-30 12:11:00.000000000	38373.4	-131.6	LONG	SL
2024-04-30 19:56:00.000000000	37880.0	2024-04-30 20:55:00.000000000	38435.0	535.0	LONG	HORIZON
2024-05-01 04:01:00.000000000	38230.0	2024-05-01 05:00:00.000000000	38175.0	-75.0	LONG	HORIZON
2024-05-01 12:33:00.000000000	38325.0	2024-05-01 12:34:00.000000000	38295.6	9.4	SHORT	TP
2024-05-01 21:15:00.000000000	38485.0	2024-05-01 21:30:00.000000000	38456.8	8.2	SHORT	TP
2024-05-02 14:31:00.000000000	38260.0	2024-05-02 14:37:00.000000000	38225.5	14.5	SHORT	TP
2024-05-08 09:11:00.000000000	38545.0	2024-05-08 09:33:00.000000000	38445.0	-120.0	LONG	SL
2024-05-08 14:46:00.000000000	38255.0	2024-05-08 16:30:00.000000000	38302.7	27.7	LONG	TP
2024-05-08 20:40:00.000000000	38700.0	2024-05-08 21:39:00.000000000	38715.0	-35.0	SHORT	HORIZON
2024-05-09 09:01:00.000000000	38280.0	2024-05-09 09:04:00.000000000	38243.8	16.2	SHORT	TP
2024-05-09 21:33:00.000000000	38190.0	2024-05-09 21:38:00.000000000	38161.0	9.0	SHORT	TP
2024-05-10 02:04:00.000000000	38430.0	2024-05-10 02:18:00.000000000	38398.7	11.3	SHORT	TP
2024-05-10 09:02:00.000000000	38515.0	2024-05-10 09:15:00.000000000	38615.0	-120.0	SHORT	SL
2024-05-10 13:06:00.000000000	38195.0	2024-05-10 14:05:00.000000000	38215.0	0.0	LONG	HORIZON
2024-05-10 19:56:00.000000000	38055.0	2024-05-10 20:17:00.000000000	38077.2	2.2	LONG	TP
2024-05-13 02:09:00.000000000	38115.0	2024-05-13 03:08:00.000000000	38185.0	-90.0	SHORT	HORIZON
2024-05-13 09:07:00.000000000	38105.0	2024-05-13 09:08:00.000000000	38054.9	30.1	SHORT	TP
2024-05-13 18:22:00.000000000	38430.0	2024-05-13 19:11:00.000000000	38399.0	11.0	SHORT	TP
2024-05-13 22:22:00.000000000	38330.0	2024-05-13 22:44:00.000000000	38299.4	10.6	SHORT	TP
